WILLKIE SOUTH,1
CARTER HOUSE,1
UNIVERSITY SCHOOL GYM- (I.A.GYM),1
HENDERSON PARKING GARAGE,1
CAMPUS DIV. GARAGE,1
GEOLOGY BUILDING,1
TENNIS PAVILION,1
Folklore Institute,1
IU FOUNDATION-TELEFUND,1
PI KAPPA PHI,1
CAMPUS WAREHOUSE BLDG,1
PHI MU,1
1205 NORTH WALNUT GROVE,1
Sigma Alpha Epsilon,1
ALL OTHER ROADWAYS/INTERS,1
INNOVATION CENTER,1
ASHTON VOS HALL,1
COLLINS/GREENE COMMON AREA,1
OPTOMETRY,1
LINGLEBACH LANE/EAST OF JORDAN,1
8TH STREET/WEST OF JORDAN,1
ERNIE PYLE HALL,1
LAW LANE/WEST OF JORDAN AVE,1
ALPHA XI DELTA,1
IU GOLF COURSE,1
COLLINS SMITH,1
CHILLED WATER PLANT,1
ART MUSEUM,1
REDBUD N 900-1600,1
BALLANTINE HALL PARKING GARAGE,1
ASHTON WEATHERLY,1
SPEA,1
IU PRESS WAREHOUSE,1
USA HICKORY HALL,1
WILLKIE PARKING LOT,1
ASHTON JOHNSTON,1
LAW LANE/EAST OF JORDAN AVE,1
FESS AVENUE/NORTH OF 10TH,1
ATHLETIC/BLUE LOT,1
MELLENCAMP SPORT BLDG,1
MUSIC PRACTICE BLDG,1
FIELDHOUSE,1
SERVICE BUILDING,1
NEAL MARSHALL CENTER,1
IU CREDIT UNION,1
6TH & DUNN PARKING LOT,1
WRIGHT EDUCATION BLDG,1
DELTA GAMMA,1
324 SOUTH HENDERSON,1
FESS AVENUE/SOUTH OF 10TH,1
ACT/80,1
