dirty_location,clean_location
COLLINS CRAVENS,na
COLLINS/GREENE,na
6TH & DUNN PARKING LOT,na
CYCLOTRON (ISAT),na
ALPHA GAMMA DELTA,na
ASHTON MOFFAT HALL,na
PSYCHOLOGY BUILDING,na
FESS AVENUE/NORTH OF 10TH,na
PI KAPPA PHI,na
MUSIC PRACTICE BLDG,na
INFORMATICS EAST,na
SIGMA PI,na
LEWIS BUILDING,na
HENDERSON PARKING GARAGE,na
HEALTH CENTER PARKING LOT,na
509 E 3RD,na
READ QUAD WEST PARKING LOT,na
ARMSTRONG STADIUM,na
815 EAST COTTAGE GROVE,na
HOUSE LAB OFFICE,na
KIRKWOOD OBSERVATORY,na
IU GOLF DRIVING RANGE,na
11TH STREET/WEST OF JORDAN,na
LAKE LEMON - IU PROPERTY,na
EVANS SCHOLARS,na
Midwest Proton RadiationTherapy,na
MATLOCK ROAD/WEST OF JORD,na
CARMICHAEL BUILDING,na
1430 N WILLIS,na
CHI OMEGA,na
ALPHA OMICRON PI,na
MUSIC ADDITION&MERRILL HALL,na
LATINO CULTURAL CENTER,na
CAMPUS CHILDREN'S CTR,na
319 SOUTH MITCHELL,na
DELTA ZETA,na
FOREST QUAD WEST LOT,na
HOOSIER COURTS DAYCARE,na
508 E. 3RD,na
ADMISSIONS,na
COLLINS COMMON AREA,na
MATHERS MUSEUM,na
COLLINS/GREENE COMMON AREA,na
OPTOMETRY,na
EVERMANN COMMON AREA,na
WILLKIE PARKING LOT,null
OWEN HALL,na
INNOVATION CENTER,na
MYERS HALL,na
901 E. 13TH,na
1205 NORTH WALNUT GROVE,na
CHEMISTRY BLDG.,na
RESEARCH & TEACHING PRESERVE,na
MCCALLA SCHOOL,na
IU FOUNDATION-TELEFUND,na
Folklore Institute,na
TENNIS PAVILION,na
ARBORETUM-SOUTH OF 10TH & FEE LN,na
CAMPUS DIV. GARAGE,na
ASHTON BARNES LOUNGE,na
UNIVERSITY APARTMENTS EAST,na
SRSC PARKING LOT,na
705 EAST 7TH,na
CAMPBELL STREET,na
SIMON SCIENCE HALL,na
HAWTHORNE DR/WEST OF JORD,na
1412 NORTH JORDAN,na
FIELDHOUSE,na
821 EAST 11TH,na
COTTAGE GROVE/WEST OF JORAN,na
MILO SAMPSON ROAD,na
HEADLEY SCHOOL,na
704 EAST 10TH,na
KAPPA KAPPA GAMMA,na
ROSE AVE/SOUTH OF 10TH ST,na
CARTER HOUSE,na
MULTIDISCIPLINARY SCIENCE 2,na
PHI DELTA THETA,na
EVERMANN APTS.,na
WELLS HOUSE,na
HEPBURN APTS,na
WILLKIE MASON COMMON AREA,na
GILMORE LOT,na
WILLKIE MASON HALL,na
ROTC SUPPLY CENTER,na
MAXWELL HALL,na
ASHTON WEATHERLY,na
REDBUD N 900-1600,na
CHILLED WATER PLANT,na
FORREST AVE./SOUTH OF 10T,na
COLLINS SMITH,na
IU GOLF COURSE,na
HILLCREST APARTMENTS,na
PRESIDENTS HOUSE,na
ENVIRONMENTAL HEALTH & SAFETY,na
LINDLEY HALL,na
IMU PAY LOT #2,na
309-311 NORTH PARK STREET (DUPLEX),na
Bart Kaufman Field,na
DELTA TAU DELTA,na
KAPPA ALPHA THETA,na
CAREER DEVELOPMENT,na
1106 NORTH WOODLAWN,na
KILROYS PARKING LOT (EAST),na
ALPHA PHI,na
222 NORTH DUNN,na
DATA CENTER (CIB MACHINE),na
FESS AVENUE/SOUTH OF 10TH,na
611 NORTH PARK,na
324 SOUTH HENDERSON,na
DELTA GAMMA,na
RANGE ROAD/NORTH OF 10TH,na
4TH STREET/WEST OF JORDAN,na
