latitude,longitude,altitude,geometry,report_num,date,crime_class,crime,location,address,city,state,status
39.178706,-86.512674,,Point,132941,October,Trespass,ADVISED OF TRESPASS,17TH STREET/WEST OF JORDAN,"1600 East 17th St, Bloomington, IN",Bloomington,Indiana,Closed No Arrest
39.178431,-86.519846,,Point,133057,November,Trespass,TRESPASS & MALICIOUS TRESPASS,BRISCOE QUAD,na,Bloomington,Indiana,Closed No Arrest
39.178431,-86.519846,,Point,133028,October,Trespass,TRESPASS & MALICIOUS TRESPASS,BRISCOE QUAD,na,Bloomington,Indiana,Closed By Arrest
39.176756,-86.512182,,Point,132990,October,Trespass,TRESPASS & MALICIOUS TRESPASS,ALPHA EPSILON PHI,na,Bloomington,Indiana,Closed No Arrest
39.175921,-86.512768,,Point,132780,October,Trespass,TRESPASS & MALICIOUS TRESPASS,BETA THETA PI,na,Bloomington,Indiana,INACTIVE
39.168925,-86.516062,,Point,153290,December,Trespass,TRESPASS & MALICIOUS TRESPASS,7TH STREET/EAST OF JORDAN,na,Bloomington,Indiana,CLOSED
39.166494,-86.527265,,Point,153451,December,Trespass,TRESPASS & MALICIOUS TRESPASS,CARMICHAEL BUILDING,na,Bloomington,Indiana,CLOSED
39.164942,-86.512452,,Point,153264,December,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,FOREST QUAD,"1725 E 3rd st Bloomington, IN",Bloomington,Indiana,CLOSED
39.164942,-86.512452,,Point,153132,November,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,FOREST QUAD,"1725 E 3rd st Bloomington, IN",Bloomington,Indiana,
39.171645,-86.510537,,Point,153471,December,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,CROSSTOWN SHOP CTR,na,Bloomington,Indiana,
39.176673,-86.493972,,Point,153463,December,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,SERVICE BUILDING,na,Bloomington,Indiana,
39.1720603,-86.515407,,Point,153445,December,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,JORDAN AVENUE/SOUTH OF 10,na,Bloomington,Indiana,
39.177013,-86.519744,,Point,153425,December,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,MCNUTT QUAD COMMON AREA,na,Bloomington,Indiana,
39.176673,-86.493972,,Point,153422,December,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,STUDENT SERVICES,na,Bloomington,Indiana,
39.173057,-86.519771,,Point,153413,December,Traffic,TRAFFIC ACCIDENTS -HIT & RUN PROPERTY DAMAGE ONLY,FEE LANE PARKING GARAGE,na,Bloomington,Indiana,INACTIVE
39.176406,-86.520291,,Point,153363,December,Traffic,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,MCNUTT QUAD BACK LOT,na,Bloomington,Indiana,
