report_num,date,crime,location,address,city,state,lat,long,status
133393,11/30/13 0:00,SHOPLIFTING,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,Closed By Arrest
133374,11/26/13 0:00,THEFT- ALL OTHER,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,ACT/32
133357,11/22/13 0:00,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,
133335,11/21/13 0:00,HARASSMENT/INTIMIDATION,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,INACTIVE
133326,11/20/13 0:00,ASSAULT- KNIFE OR CUTTING INSTRUMENT,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,ACT/44
133310,11/19/13 0:00,TRAFFIC ACCIDENTS -HIT & RUN PROPERTY DAMAGE ONLY,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,Closed No Arrest
133178,11/9/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,Closed By Arrest
133173,11/9/13 0:00,HARASSMENT/INTIMIDATION,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,INACTIVE
133163,11/9/13 0:00,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,Closed No Arrest
132804,10/14/13 0:00,THEFT-OTHER VEHICLES,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,Closed By Arrest
132693,10/5/13 0:00,PUBLIC INTOXICATION,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,Closed By Arrest
132692,10/5/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,Closed By Arrest
132599,9/29/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,Closed By Arrest
132583,9/28/13 0:00,TRAFFIC ACCIDENTS - PROPERTY DAMAGE ONLY,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,
132579,9/28/13 0:00,POSSESSION - MARIJUANA,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,Closed By Arrest
132507,9/21/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,Closed By Arrest
132503,9/21/13 0:00,ILLEGAL POSSESSION/CONSUMPTION,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,Closed By Arrest
132500,9/21/13 0:00,PUBLIC INTOXICATION,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,Closed By Arrest
132497,9/21/13 0:00,PUBLIC INTOXICATION,MEMORIAL STADIUM,"1001 E 17th St, Bloomington, IN",Bloomington,Indiana,39.180538,-86.525654,Closed By Arrest
153447,12/18/15 0:00,POSSESSION - MARIJUANA,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
153443,12/17/15 0:00,POSSESSION - MARIJUANA,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
153365,12/10/15 0:00,DISORDERLY CONDUCT,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
153319,12/5/15 0:00,POSSESSION - MARIJUANA,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
153310,12/5/15 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
153307,12/5/15 0:00,POSSESSION - MARIJUANA,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
153267,12/1/15 0:00,POSSESSION - MARIJUANA,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,INACTIVE
153169,11/15/15 0:00,THEFT FROM BUILDINGS,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,INACTIVE
153162,11/14/15 0:00,POSSESSION - MARIJUANA,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
153159,11/14/15 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
153146,11/14/15 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
153144,11/14/15 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
153032,11/7/15 0:00,INDECENT EXPOSURE,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
153031,11/7/15 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
152967,11/1/15 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
152962,11/1/15 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
152958,11/1/15 0:00,POSSESSION OF DRUG PARAPHERNALIA,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
152946,10/31/15 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
152942,10/31/15 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
152941,10/31/15 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
152921,10/30/15 0:00,ASSAULT- SIMPLE NOT AGGRAVATED,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
152858,10/25/15 0:00,ASSAULT- SIMPLE NOT AGGRAVATED,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
152839,10/24/15 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
152815,10/21/15 0:00,POSSESSION - MARIJUANA,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
152763,10/18/15 0:00,RAPE ,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,ACTIVE
152757,10/18/15 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
152737,10/17/15 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
152666,10/10/15 0:00,THEFT FROM BUILDINGS,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,INACTIVE
152654,10/9/15 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
152612,10/6/15 0:00,BURGLARY - FORCIBLE ENTRY,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,ACT/44
152592,10/4/15 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
152589,10/4/15 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
152558,10/2/15 0:00,POSSESSION - MARIJUANA,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
152552,10/1/15 0:00,POSSESSION - MARIJUANA,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
152510,9/28/15 0:00,HARASSMENT/INTIMIDATION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
152490,9/27/15 0:00,ILLEGAL POSSESSION/CONSUMPTION,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,CLOSED
143627,12/23/14 0:00,RAPE ,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,ACT/44
143537,12/12/14 0:00,POSSESSION - MARIJUANA,MCNUTT QUAD,"1101 N Fee Ln, Bloomington, IN",Bloomington,Indiana,39.176464,-86.519797,Closed By Arrest
