report_num,date,crime,location,address,city,state,lat,long,status
133197,11/11/13 0:00,BURGLARY - UNLAWFUL ENTRY - NO FORCE,309-311 NORTH PARK STREET (DUPLEX), ,Bloomington,Indiana,,,ACTIVE
133147,11/8/13 0:00,BURGLARY - UNLAWFUL ENTRY - NO FORCE,HPER -SCHOOL OF PUBLIC HEALTH, ,Bloomington,Indiana,,,INACTIVE
133089,11/3/13 0:00,BURGLARY - UNLAWFUL ENTRY - NO FORCE,BRISCOE QUAD, ,Bloomington,Indiana,,,INACTIVE
132851,10/18/13 0:00,BURGLARY - UNLAWFUL ENTRY - NO FORCE,PHI MU, ,Bloomington,Indiana,,,ACT/44
132716,10/6/13 0:00,BURGLARY - UNLAWFUL ENTRY - NO FORCE,3RD & UNION APARTMENTS, ,Bloomington,Indiana,,,INACTIVE
132526,9/23/13 0:00,BURGLARY - UNLAWFUL ENTRY - NO FORCE,Acacia, ,Bloomington,Indiana,,,INACTIVE
132465,9/19/13 0:00,BURGLARY - UNLAWFUL ENTRY - NO FORCE,Delta Chi, ,Bloomington,Indiana,,,ACT/32
133384,11/29/13 0:00,COURT SERVICE - WARRANT SUMMONS SUBPOENA ETC,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,Closed No Arrest
133254,11/15/13 0:00,COURT SERVICE - WARRANT SUMMONS SUBPOENA ETC,ALL OTHER NON-UNIVERSITY, ,Bloomington,Indiana,,,Closed By Arrest
132819,10/16/13 0:00,COURT SERVICE - WARRANT SUMMONS SUBPOENA ETC,3RD STREET/WEST OF JORDAN, ,Bloomington,Indiana,,,Closed By Arrest
133375,11/26/13 0:00,DAMAGED PROPERTY,TULIP TREE PARKING LOT, ,Bloomington,Indiana,,,INACTIVE
133270,11/16/13 0:00,DAMAGED PROPERTY,MUSICAL ARTS CENTER, ,Bloomington,Indiana,,,Closed No Arrest
132836,10/17/13 0:00,DAMAGED PROPERTY,319 SOUTH MITCHELL, ,Bloomington,Indiana,,,Closed No Arrest
132810,10/15/13 0:00,DAMAGED PROPERTY,10TH STREET/WEST OF JORDAN, ,Bloomington,Indiana,,,Closed No Arrest
132791,10/12/13 0:00,DAMAGED PROPERTY,FOSTER JENKINSON HALL, ,Bloomington,Indiana,,,Closed No Arrest
132714,10/5/13 0:00,DAMAGED PROPERTY,WELLS LIBRARY, ,Bloomington,Indiana,,,INACTIVE
